Date,Open,High,Low,Close,Volume
2023-10-12,148.99,150.36,148.05,150.14,859197
2023-10-13,150.14,153.2,149.51,152.87,952268
2023-10-14,152.87,155.04,151.68,153.93,1020278
2023-10-15,153.93,154.01,153.42,153.67,1035351
2023-10-16,153.67,156.54,152.65,156.11,995698
2023-10-17,156.11,157.92,154.93,157.49,884145
2023-10-18,157.49,159.24,156.42,158.79,995989
2023-10-19,158.79,161.27,158.16,161.2,1029797
2023-10-20,161.2,161.68,160.07,160.4,891170
2023-10-21,160.4,161.28,160.39,160.76,1074104
2023-10-22,160.76,161.37,159.54,160.67,1000078
2023-10-23,160.67,165.0,160.55,163.68,1108529
2023-10-24,163.68,163.71,161.29,162.79,1108633
2023-10-25,162.79,165.38,161.64,164.43,975308
2023-10-26,164.43,164.47,163.2,163.73,1090396
2023-10-27,163.73,166.79,162.23,165.41,876438
2023-10-28,165.41,168.55,164.44,168.14,1007188
2023-10-29,168.14,169.06,167.57,168.54,949920
2023-10-30,168.54,169.4,167.49,167.68,1002985
2023-10-31,167.68,171.03,166.46,170.43,1095684
2023-11-01,170.43,173.05,170.18,172.64,909181
2023-11-02,172.64,174.99,171.51,173.66,903143
2023-11-03,173.66,176.32,172.35,175.46,1077963
2023-11-04,175.46,177.08,174.45,175.44,1040589
2023-11-05,175.44,177.74,174.34,176.22,895287
2023-11-06,176.22,177.0,173.41,173.94,932402
2023-11-07,173.94,174.82,170.96,171.5,985574
2023-11-08,171.5,172.92,168.84,168.97,1109275
2023-11-09,168.97,171.47,168.12,170.42,988813
2023-11-10,170.42,171.77,168.7,170.22,984920
2023-11-11,170.22,172.34,169.68,171.22,992688
2023-11-12,171.22,171.33,168.56,168.73,1119738
2023-11-13,168.73,169.94,166.3,167.15,901767
2023-11-14,167.15,167.88,164.28,165.0,1006824
2023-11-15,165.0,165.62,161.89,162.35,972630
2023-11-16,162.35,163.32,159.27,160.54,1044191
